Prospecto,Semana,Verificado,Oe,PrioridadProspecto,Canal
1506,11,Si,5,Prioridad Alta,Facebook
1507,11,No,,Prioridad Alta,AdWords
1508,11,No,,Prioridad Media,Instagram
1509,11,Si,4,Prioridad Alta,AdWords
1510,11,Si,3,Prioridad Alta,Organico
1511,11,Si,16,Prioridad Baja,Instagram
1512,11,No,,Prioridad Media,AdWords
1513,11,No,,Prioridad Baja,Instagram
1514,11,Si,9,Prioridad Baja,AdWords
1515,11,No,,Prioridad Baja,Instagram
1516,11,No,,Prioridad Media,Facebook
1517,11,Si,3,Prioridad Alta,AdWords
1518,11,No,,Prioridad Baja,Instagram
1519,11,No,,Prioridad Baja,Organico
1520,11,Si,6,Prioridad Alta,Organico
1521,11,No,,Prioridad Media,Organico
1522,11,No,,Prioridad Baja,Organico
1523,11,Si,15,Prioridad Media,Organico
1524,11,No,,Prioridad Alta,Instagram
1525,11,Si,8,Prioridad Alta,AdWords
1526,11,Si,6,Prioridad Alta,AdWords
1527,11,No,,Prioridad Baja,Instagram
1528,11,Si,7,Prioridad Alta,AdWords
1529,11,No,,Prioridad Alta,AdWords
1530,11,No,,Prioridad Alta,AdWords
1531,11,No,,Prioridad Media,Instagram
1532,11,No,,Prioridad Alta,Instagram
1533,11,Si,4,Prioridad Alta,Organico
1534,11,Si,21,Prioridad Alta,Organico
1535,11,No,,Prioridad Media,Instagram
1536,11,No,,Prioridad Alta,Instagram
1537,11,Si,17,Prioridad Media,Instagram
1538,11,No,,Prioridad Media,AdWords
1539,11,Si,4,Prioridad Media,AdWords
1540,11,Si,7,Prioridad Alta,Facebook
1541,11,Si,6,Prioridad Alta,Instagram
1542,11,No,,Prioridad Alta,Organico
1543,11,No,,Prioridad Alta,Organico
1544,11,No,,Prioridad Alta,AdWords
1545,11,No,,Prioridad Baja,AdWords
1546,11,No,,Prioridad Baja,Organico
1547,11,No,,Prioridad Alta,Organico
1548,11,No,,Prioridad Baja,Instagram
1549,11,Si,10,Prioridad Alta,AdWords
1550,11,No,,Prioridad Media,Organico
1551,11,No,,Prioridad Baja,Instagram
1552,11,Si,6,Prioridad Alta,Organico
1553,11,No,,Prioridad Media,Instagram
1554,11,Si,17,Prioridad Alta,AdWords
1555,11,No,,Prioridad Media,Instagram
1556,11,No,,Prioridad Alta,Facebook
1557,11,Si,11,Prioridad Alta,Organico
1558,11,No,,Prioridad Media,AdWords
1559,11,No,,Prioridad Alta,Instagram
1560,11,Si,3,Prioridad Alta,Organico
1561,11,No,,Prioridad Alta,Instagram
1562,11,No,,Prioridad Alta,Instagram
1563,11,Si,3,Prioridad Alta,Instagram
1564,11,No,,Prioridad Media,AdWords
1565,11,Si,1,Prioridad Alta,AdWords
1566,11,Si,1,Prioridad Alta,Organico
1567,11,No,,Prioridad Media,Instagram
1568,11,No,,Prioridad Media,AdWords
1569,11,No,,Prioridad Media,Facebook
1570,11,Si,3,Prioridad Baja,AdWords
1571,11,No,,Prioridad Media,Organico
1572,11,No,,Prioridad Alta,Facebook
1573,11,No,,Prioridad Media,AdWords
1574,11,No,,Prioridad Alta,Facebook
1575,11,Si,2,Prioridad Media,AdWords
1576,11,No,,Prioridad Alta,AdWords
1577,11,Si,6,Prioridad Alta,AdWords
1578,11,No,,Prioridad Alta,Organico
1579,11,No,,Prioridad Baja,AdWords
1580,11,Si,2,Prioridad Alta,AdWords
1581,11,No,,Prioridad Alta,AdWords
1582,11,Si,6,Prioridad Alta,AdWords
1583,11,Si,10,Prioridad Alta,Instagram
1584,11,No,,Prioridad Baja,AdWords
1585,11,No,,Prioridad Alta,AdWords
1586,11,No,,Prioridad Alta,Organico
1587,11,No,,Prioridad Baja,Organico
1588,11,No,,Prioridad Alta,Instagram
1589,11,No,,Prioridad Alta,Organico
1590,11,Si,1,Prioridad Alta,AdWords
1591,11,No,,Prioridad Alta,Facebook
1592,11,No,,Prioridad Media,Facebook
1593,11,No,,Prioridad Baja,Instagram
1594,11,Si,5,Prioridad Alta,Instagram
1595,11,No,,Prioridad Baja,Facebook
1596,11,Si,2,Prioridad Alta,Organico
1597,11,No,,Prioridad Alta,Instagram
1598,11,No,,Prioridad Alta,Organico
1599,11,Si,3,Prioridad Alta,Instagram
1600,11,No,,Prioridad Baja,AdWords
1601,11,Si,5,Prioridad Alta,Facebook
1602,11,No,,Prioridad Baja,Organico
1603,11,No,,Prioridad Alta,Organico
1604,11,Si,10,Prioridad Alta,Instagram
1605,11,Si,6,Prioridad Alta,Instagram
1606,11,Si,1,Prioridad Media,AdWords
1607,11,Si,6,Prioridad Alta,Facebook
1608,11,Si,8,Prioridad Media,Facebook
1609,11,Si,2,Prioridad Alta,Facebook
1610,12,No,,Prioridad Media,Instagram
1611,12,Si,17,Prioridad Media,Instagram
1612,12,Si,2,Prioridad Baja,AdWords
1613,12,No,,Prioridad Baja,Organico
1614,12,Si,4,Prioridad Alta,AdWords
1615,12,No,,Prioridad Alta,Organico
1616,12,Si,1,Prioridad Alta,Organico
1617,12,No,,Prioridad Alta,Organico
1618,12,No,,Prioridad Media,Organico
1619,12,No,,Prioridad Media,AdWords
1620,12,Si,1,Prioridad Alta,Organico
1621,12,No,,Prioridad Media,AdWords
1622,12,Si,15,Prioridad Alta,Facebook
1623,12,Si,4,Prioridad Alta,AdWords
1624,12,Si,17,Prioridad Alta,Instagram
1625,12,No,,Prioridad Media,Facebook
1626,12,Si,6,Prioridad Media,AdWords
1627,12,No,,Prioridad Baja,Instagram
1628,12,No,,Prioridad Alta,Facebook
1629,12,Si,4,Prioridad Alta,Organico
1630,12,Si,6,Prioridad Alta,AdWords
1631,12,No,,Prioridad Media,Instagram
1632,12,No,,Prioridad Media,Instagram
1633,12,Si,1,Prioridad Alta,Facebook
1634,12,No,,Prioridad Baja,AdWords
1635,12,Si,6,Prioridad Alta,Organico
1636,12,No,,Prioridad Media,Organico
1637,12,No,,Prioridad Alta,AdWords
1638,12,Si,4,Prioridad Alta,Instagram
1639,12,Si,21,Prioridad Alta,Organico
1640,12,Si,5,Prioridad Baja,Instagram
1641,12,No,,Prioridad Baja,Instagram
1642,12,Si,4,Prioridad Alta,AdWords
1643,12,No,,Prioridad Baja,AdWords
1644,12,Si,20,Prioridad Media,Organico
1645,12,No,,Prioridad Media,AdWords
1646,12,No,,Prioridad Baja,AdWords
1647,12,No,,Prioridad Media,Instagram
1648,12,Si,13,Prioridad Alta,Facebook
1649,12,No,,Prioridad Media,Organico
1650,12,Si,5,Prioridad Media,Organico
1651,12,Si,5,Prioridad Media,Organico
1652,12,No,,Prioridad Alta,Facebook
1653,12,Si,7,Prioridad Baja,AdWords
1654,12,Si,2,Prioridad Alta,AdWords
1655,12,Si,1,Prioridad Media,Instagram
1656,12,No,,Prioridad Baja,Organico
1657,12,No,,Prioridad Media,Instagram
1658,12,Si,2,Prioridad Alta,Instagram
1659,12,No,,Prioridad Baja,Organico
1660,12,No,,Prioridad Alta,AdWords
1661,12,Si,7,Prioridad Media,Organico
1662,12,Si,2,Prioridad Media,AdWords
1663,12,Si,7,Prioridad Alta,Organico
1664,12,No,,Prioridad Media,AdWords
1665,12,No,,Prioridad Baja,Organico
1666,12,No,,Prioridad Baja,Facebook
1667,12,No,,Prioridad Baja,Organico
1668,12,Si,2,Prioridad Alta,Instagram
1669,12,Si,2,Prioridad Alta,Instagram
1670,12,No,,Prioridad Baja,Organico
1671,12,No,,Prioridad Baja,Instagram
1672,12,No,,Prioridad Baja,Facebook
1673,12,Si,6,Prioridad Media,AdWords
1674,12,Si,6,Prioridad Alta,Instagram
1675,12,No,,Prioridad Alta,Organico
1676,12,Si,6,Prioridad Alta,Instagram
1677,12,No,,Prioridad Media,Facebook
1678,12,No,,Prioridad Media,AdWords
1679,12,Si,6,Prioridad Alta,Organico
1680,12,Si,18,Prioridad Alta,Instagram
1681,12,No,,Prioridad Media,Organico
1682,12,No,,Prioridad Baja,Facebook
1683,12,No,,Prioridad Baja,Instagram
1684,12,No,,Prioridad Media,Organico
1685,12,No,,Prioridad Baja,Instagram
1686,12,No,,Prioridad Alta,AdWords
1687,12,Si,3,Prioridad Media,Organico
1688,12,Si,2,Prioridad Alta,Instagram
1689,12,No,,Prioridad Media,Instagram
1690,12,No,,Prioridad Media,AdWords
1691,12,Si,12,Prioridad Alta,Instagram
1692,12,Si,3,Prioridad Alta,Facebook
1693,12,Si,17,Prioridad Alta,Instagram
1694,12,Si,7,Prioridad Alta,Instagram
1695,12,No,,Prioridad Alta,Instagram
1696,12,No,,Prioridad Media,Organico
1697,12,Si,7,Prioridad Alta,AdWords
1698,12,No,,Prioridad Alta,AdWords
1699,12,No,,Prioridad Baja,Organico
1700,12,Si,3,Prioridad Alta,AdWords
1701,12,Si,2,Prioridad Alta,Organico
1702,12,Si,3,Prioridad Alta,Organico
1703,12,No,,Prioridad Alta,Organico
1704,12,Si,4,Prioridad Alta,AdWords
1705,12,No,,Prioridad Alta,Organico
1706,12,Si,1,Prioridad Alta,Organico
1707,12,No,,Prioridad Media,Instagram
1708,12,No,,Prioridad Media,Organico
1709,12,No,,Prioridad Alta,AdWords
1710,12,No,,Prioridad Media,Facebook
1711,12,No,,Prioridad Media,AdWords
1712,12,No,,Prioridad Baja,Instagram
1713,12,Si,16,Prioridad Media,Facebook
1714,12,No,,Prioridad Media,AdWords
1715,12,No,,Prioridad Baja,Facebook
1716,12,No,,Prioridad Alta,Organico
1717,12,No,,Prioridad Media,Instagram
1718,12,No,,Prioridad Media,Organico
1719,12,Si,6,Prioridad Alta,AdWords
1720,12,No,,Prioridad Media,AdWords
1721,12,Si,3,Prioridad Alta,AdWords
1722,12,No,,Prioridad Baja,Instagram
1723,12,No,,Prioridad Alta,Organico
1724,12,No,,Prioridad Media,AdWords
1725,12,No,,Prioridad Alta,Organico
1726,12,No,,Prioridad Baja,AdWords
1727,12,No,,Prioridad Baja,AdWords
1728,12,No,,Prioridad Media,Instagram
1729,12,Si,7,Prioridad Alta,AdWords
1730,12,Si,5,Prioridad Media,Facebook
1731,12,No,,Prioridad Alta,Organico
1732,12,Si,2,Prioridad Alta,AdWords
1733,12,Si,21,Prioridad Alta,Instagram
1734,12,No,,Prioridad Media,Instagram
1735,12,No,,Prioridad Media,AdWords
1736,12,No,,Prioridad Alta,Instagram
1737,12,Si,13,Prioridad Baja,Organico
1738,12,Si,10,Prioridad Alta,AdWords
1739,12,Si,2,Prioridad Alta,Facebook
1740,12,Si,6,Prioridad Alta,Organico
1741,12,Si,16,Prioridad Alta,AdWords
1742,12,No,,Prioridad Baja,AdWords
1743,12,No,,Prioridad Baja,AdWords
1744,12,No,,Prioridad Media,AdWords
1745,12,Si,7,Prioridad Alta,Instagram
1746,12,No,,Prioridad Alta,AdWords
1747,12,Si,9,Prioridad Baja,Instagram
1748,12,Si,4,Prioridad Alta,AdWords
1749,12,Si,4,Prioridad Alta,AdWords
1750,12,Si,4,Prioridad Alta,Instagram
1751,12,No,,Prioridad Media,Organico
1752,12,Si,18,Prioridad Alta,AdWords
1753,12,No,,Prioridad Baja,Facebook
1754,12,No,,Prioridad Baja,Instagram
1755,12,No,,Prioridad Media,AdWords
1756,12,Si,12,Prioridad Media,Organico
1757,12,Si,1,Prioridad Alta,AdWords
1758,12,No,,Prioridad Media,Organico
1759,12,Si,2,Prioridad Media,Organico
1760,12,Si,8,Prioridad Baja,Instagram
1761,12,Si,13,Prioridad Alta,Facebook
1762,12,Si,1,Prioridad Alta,Organico
1763,12,No,,Prioridad Alta,Organico
1764,12,Si,1,Prioridad Baja,Organico
1765,12,Si,3,Prioridad Alta,Facebook
1766,12,No,,Prioridad Alta,Organico
1767,12,Si,5,Prioridad Alta,Instagram
1768,12,No,,Prioridad Alta,Instagram
1769,12,No,,Prioridad Media,Organico
1770,12,No,,Prioridad Baja,AdWords
1771,12,Si,2,Prioridad Media,Instagram
1772,12,No,,Prioridad Alta,Organico
1773,12,No,,Prioridad Alta,Instagram
1774,12,No,,Prioridad Baja,Instagram
1775,12,Si,18,Prioridad Media,Instagram
1776,12,No,,Prioridad Baja,AdWords
1777,12,Si,1,Prioridad Alta,AdWords
1778,12,Si,20,Prioridad Alta,Facebook
1779,12,Si,4,Prioridad Alta,Instagram
1780,12,No,,Prioridad Media,AdWords
1781,12,Si,5,Prioridad Alta,Instagram
1782,12,Si,7,Prioridad Alta,Organico
1783,12,No,,Prioridad Media,Instagram
1784,12,Si,12,Prioridad Alta,Instagram
1785,12,No,,Prioridad Media,Instagram
1786,12,Si,1,Prioridad Media,Organico
1787,12,No,,Prioridad Media,Instagram
1788,12,No,,Prioridad Media,Facebook
1789,12,No,,Prioridad Media,Organico
1790,12,Si,4,Prioridad Alta,Organico
1791,12,Si,7,Prioridad Alta,Facebook
1792,12,Si,12,Prioridad Alta,Facebook
1793,12,No,,Prioridad Alta,Organico
1794,12,No,,Prioridad Alta,AdWords
1795,12,No,,Prioridad Baja,Organico
1796,12,No,,Prioridad Alta,Instagram
1797,12,No,,Prioridad Media,AdWords
1798,12,Si,5,Prioridad Baja,AdWords
1799,12,No,,Prioridad Baja,Organico
1800,12,No,,Prioridad Media,Organico
1801,12,No,,Prioridad Media,AdWords
1802,13,Si,12,Prioridad Alta,Organico
1803,13,Si,15,Prioridad Alta,Organico
1804,13,Si,1,Prioridad Media,Instagram
1805,13,No,,Prioridad Baja,Organico
1806,13,No,,Prioridad Media,Organico
1807,13,No,,Prioridad Baja,AdWords
1808,13,Si,1,Prioridad Alta,Instagram
1809,13,No,,Prioridad Media,Instagram
1810,13,Si,2,Prioridad Alta,AdWords
1811,13,No,,Prioridad Baja,Organico
1812,13,No,,Prioridad Alta,Facebook
1813,13,No,,Prioridad Media,Facebook
1814,13,No,,Prioridad Baja,Organico
1815,13,Si,3,Prioridad Alta,Organico
1816,13,No,,Prioridad Media,Instagram
1817,13,Si,1,Prioridad Baja,Organico
1818,13,No,,Prioridad Baja,Instagram
1819,13,No,,Prioridad Baja,Organico
1820,13,Si,1,Prioridad Alta,AdWords
1821,13,No,,Prioridad Baja,Facebook
1822,13,Si,6,Prioridad Alta,Organico
1823,13,No,,Prioridad Alta,Instagram
1824,13,Si,21,Prioridad Media,AdWords
1825,13,No,,Prioridad Media,Instagram
1826,13,Si,2,Prioridad Alta,Organico
1827,13,Si,13,Prioridad Alta,AdWords
1828,13,Si,1,Prioridad Baja,Organico
1829,13,No,,Prioridad Media,AdWords
1830,13,No,,Prioridad Alta,AdWords
1831,13,No,,Prioridad Baja,AdWords
1832,13,No,,Prioridad Media,AdWords
1833,13,Si,17,Prioridad Alta,AdWords
1834,13,No,,Prioridad Alta,AdWords
1835,13,Si,17,Prioridad Alta,AdWords
1836,13,No,,Prioridad Alta,AdWords
1837,13,Si,1,Prioridad Alta,Instagram
1838,13,Si,5,Prioridad Alta,AdWords
1839,13,No,,Prioridad Alta,Facebook
1840,13,Si,4,Prioridad Alta,AdWords
1841,13,No,,Prioridad Media,Instagram
1842,13,No,,Prioridad Baja,AdWords
1843,13,Si,16,Prioridad Alta,AdWords
1844,13,Si,12,Prioridad Alta,Instagram
1845,13,Si,9,Prioridad Alta,Facebook
1846,13,Si,6,Prioridad Alta,AdWords
1847,13,Si,1,Prioridad Alta,Instagram
1848,13,Si,5,Prioridad Alta,Organico
1849,13,No,,Prioridad Media,AdWords
1850,13,Si,6,Prioridad Alta,Instagram
1851,13,Si,3,Prioridad Alta,Organico
1852,13,No,,Prioridad Media,Instagram
1853,13,Si,4,Prioridad Alta,Instagram
1854,13,No,,Prioridad Baja,AdWords
1855,13,Si,7,Prioridad Alta,Facebook
1856,13,No,,Prioridad Baja,AdWords
1857,13,Si,11,Prioridad Alta,Instagram
1858,13,No,,Prioridad Baja,AdWords
1859,13,No,,Prioridad Alta,Organico
1860,13,Si,6,Prioridad Baja,Organico
1861,13,Si,2,Prioridad Alta,Organico
1862,13,Si,7,Prioridad Alta,Instagram
1863,13,Si,20,Prioridad Alta,AdWords
1864,13,Si,12,Prioridad Alta,Organico
1865,13,No,,Prioridad Alta,AdWords
1866,13,No,,Prioridad Media,Facebook
1867,13,Si,1,Prioridad Media,Organico
1868,13,No,,Prioridad Alta,Instagram
1869,13,No,,Prioridad Baja,Instagram
1870,13,Si,15,Prioridad Alta,Organico
1871,13,No,,Prioridad Alta,AdWords
1872,13,No,,Prioridad Media,Facebook
1873,13,Si,1,Prioridad Baja,AdWords
1874,13,No,,Prioridad Alta,Instagram
1875,13,Si,14,Prioridad Alta,Organico
1876,13,Si,18,Prioridad Alta,Instagram
1877,13,Si,1,Prioridad Alta,Instagram
1878,13,No,,Prioridad Media,AdWords
1879,13,Si,3,Prioridad Alta,AdWords
1880,13,No,,Prioridad Media,AdWords
1881,13,Si,1,Prioridad Alta,AdWords
1882,13,No,,Prioridad Baja,Organico
1883,13,Si,5,Prioridad Alta,Instagram
1884,13,Si,12,Prioridad Alta,Instagram
1885,13,No,,Prioridad Alta,Organico
1886,13,Si,6,Prioridad Media,Instagram
1887,13,No,,Prioridad Media,Organico
1888,13,Si,16,Prioridad Alta,Organico
1889,13,No,,Prioridad Baja,Instagram
1890,13,Si,7,Prioridad Alta,AdWords
1891,13,No,,Prioridad Media,Instagram
1892,13,Si,4,Prioridad Alta,AdWords
1893,13,Si,1,Prioridad Alta,Instagram
1894,13,Si,5,Prioridad Alta,Facebook
1895,13,No,,Prioridad Alta,Organico
1896,13,No,,Prioridad Baja,Instagram
1897,13,Si,1,Prioridad Alta,AdWords
1898,13,No,,Prioridad Alta,Instagram
1899,13,Si,5,Prioridad Alta,Instagram
1900,13,Si,20,Prioridad Alta,AdWords
1901,13,Si,19,Prioridad Alta,Organico
1902,13,No,,Prioridad Baja,Instagram
1903,13,No,,Prioridad Alta,Organico
1904,13,Si,7,Prioridad Alta,Instagram
1905,13,Si,4,Prioridad Alta,AdWords
1906,13,No,,Prioridad Media,Instagram
1907,13,No,,Prioridad Media,Instagram
1908,13,Si,4,Prioridad Alta,Instagram
1909,13,Si,4,Prioridad Alta,AdWords
1910,13,Si,12,Prioridad Alta,Instagram
1911,13,No,,Prioridad Baja,AdWords
1912,13,No,,Prioridad Alta,Instagram
1913,13,Si,13,Prioridad Alta,AdWords
1914,13,No,,Prioridad Baja,Instagram
1915,13,No,,Prioridad Alta,Organico
1916,13,Si,1,Prioridad Alta,Organico
1917,13,No,,Prioridad Baja,Instagram
1918,13,No,,Prioridad Baja,Instagram
1919,13,Si,14,Prioridad Media,Instagram
1920,13,No,,Prioridad Baja,Instagram
1921,13,Si,1,Prioridad Alta,Organico
1922,13,No,,Prioridad Baja,Facebook
1923,13,Si,2,Prioridad Alta,Instagram
1924,13,No,,Prioridad Alta,Facebook
1925,13,Si,3,Prioridad Alta,Organico
1926,13,No,,Prioridad Media,AdWords
1927,13,Si,5,Prioridad Alta,Instagram
1928,13,No,,Prioridad Baja,Instagram
1929,13,No,,Prioridad Alta,AdWords
1930,13,Si,7,Prioridad Alta,Facebook
1931,13,Si,7,Prioridad Alta,Organico
1932,13,Si,6,Prioridad Baja,Instagram
1933,13,No,,Prioridad Baja,AdWords
1934,13,Si,3,Prioridad Alta,Instagram
1935,13,Si,6,Prioridad Alta,Facebook
1936,13,Si,7,Prioridad Alta,Organico
1937,13,No,,Prioridad Baja,Organico
1938,13,Si,5,Prioridad Alta,Facebook
1939,13,No,,Prioridad Media,AdWords
1940,13,No,,Prioridad Alta,Instagram
1941,13,Si,7,Prioridad Alta,Organico
1942,13,Si,18,Prioridad Alta,Facebook
1943,13,No,,Prioridad Alta,Facebook
1944,13,Si,17,Prioridad Media,Instagram
1945,13,No,,Prioridad Baja,Organico
1946,13,Si,7,Prioridad Alta,Organico
1947,13,No,,Prioridad Media,AdWords
1948,13,No,,Prioridad Baja,Organico
1949,13,Si,2,Prioridad Alta,Instagram
1950,13,Si,2,Prioridad Alta,Facebook
1951,13,No,,Prioridad Media,Organico
1952,13,No,,Prioridad Media,AdWords
1953,13,Si,5,Prioridad Media,AdWords
1954,13,Si,20,Prioridad Media,AdWords
1955,13,No,,Prioridad Baja,AdWords
1956,13,Si,3,Prioridad Alta,Organico
1957,13,No,,Prioridad Media,Organico
1958,13,Si,4,Prioridad Media,Organico
1959,13,Si,3,Prioridad Alta,AdWords
1960,13,No,,Prioridad Alta,AdWords
1961,13,Si,1,Prioridad Alta,Instagram
1962,13,No,,Prioridad Alta,AdWords
1963,13,No,,Prioridad Baja,Organico
1964,13,No,,Prioridad Media,Organico
1965,13,Si,3,Prioridad Alta,Organico
1966,13,Si,12,Prioridad Alta,AdWords
1967,13,No,,Prioridad Alta,AdWords
1968,13,No,,Prioridad Baja,Instagram
1969,13,No,,Prioridad Baja,Instagram
1970,13,No,,Prioridad Alta,Organico
1971,13,Si,2,Prioridad Alta,AdWords
1972,13,Si,1,Prioridad Alta,AdWords
1973,13,Si,5,Prioridad Alta,Facebook
1974,13,Si,4,Prioridad Alta,Facebook
1975,13,Si,5,Prioridad Media,Facebook
1976,14,No,,Prioridad Baja,Organico
1977,14,No,,Prioridad Alta,Instagram
1978,14,Si,13,Prioridad Alta,AdWords
1979,14,Si,3,Prioridad Alta,Organico
1980,14,No,,Prioridad Alta,Organico
1981,14,Si,12,Prioridad Alta,Organico
1982,14,Si,8,Prioridad Alta,AdWords
1983,14,No,,Prioridad Media,AdWords
1984,14,Si,1,Prioridad Alta,Organico
1985,14,No,,Prioridad Baja,Facebook
1986,14,Si,4,Prioridad Media,Instagram
1987,14,No,,Prioridad Media,AdWords
1988,14,Si,14,Prioridad Alta,Instagram
1989,14,Si,6,Prioridad Alta,Organico
1990,14,No,,Prioridad Media,AdWords
1991,14,Si,3,Prioridad Alta,AdWords
1992,14,Si,3,Prioridad Alta,Instagram
1993,14,Si,3,Prioridad Alta,Facebook
1994,14,Si,6,Prioridad Alta,Organico
1995,14,No,,Prioridad Alta,Instagram
1996,14,Si,6,Prioridad Alta,AdWords
1997,14,Si,20,Prioridad Alta,AdWords
1998,14,No,,Prioridad Baja,AdWords
1999,14,Si,2,Prioridad Media,AdWords
2000,14,Si,8,Prioridad Media,AdWords
2001,14,Si,3,Prioridad Alta,AdWords
2002,14,No,,Prioridad Alta,Organico
2003,14,No,,Prioridad Media,AdWords
2004,14,No,,Prioridad Baja,Instagram
2005,14,Si,2,Prioridad Media,AdWords
2006,14,Si,12,Prioridad Alta,AdWords
2007,14,No,,Prioridad Alta,Organico
2008,14,No,,Prioridad Baja,Instagram
2009,14,Si,11,Prioridad Alta,Facebook
2010,14,No,,Prioridad Alta,Instagram
2011,14,No,,Prioridad Alta,Organico
2012,14,No,,Prioridad Media,Organico
2013,14,No,,Prioridad Baja,Instagram
2014,14,Si,2,Prioridad Alta,Instagram
2015,14,Si,20,Prioridad Media,Instagram
2016,14,No,,Prioridad Media,Organico
2017,14,No,,Prioridad Media,AdWords
2018,14,No,,Prioridad Media,Facebook
2019,14,No,,Prioridad Media,Facebook
2020,14,Si,2,Prioridad Alta,AdWords
2021,14,Si,7,Prioridad Alta,Instagram
2022,14,No,,Prioridad Baja,Instagram
2023,14,No,,Prioridad Baja,Instagram
2024,14,No,,Prioridad Baja,AdWords
2025,14,Si,14,Prioridad Alta,AdWords
2026,14,No,,Prioridad Media,Organico
2027,14,No,,Prioridad Alta,Facebook
2028,14,No,,Prioridad Baja,Instagram
2029,14,Si,3,Prioridad Alta,Facebook
2030,14,Si,6,Prioridad Alta,AdWords
2031,14,No,,Prioridad Media,AdWords
2032,14,No,,Prioridad Alta,AdWords
2033,14,No,,Prioridad Alta,Organico
2034,14,Si,2,Prioridad Alta,Instagram
2035,14,No,,Prioridad Media,Instagram
2036,14,No,,Prioridad Alta,Facebook
2037,14,No,,Prioridad Alta,Instagram
2038,14,Si,21,Prioridad Baja,Organico
2039,14,Si,14,Prioridad Media,Instagram
2040,14,Si,7,Prioridad Media,Instagram
2041,14,No,,Prioridad Media,Instagram
2042,14,No,,Prioridad Media,Facebook
2043,14,No,,Prioridad Media,Organico
2044,14,No,,Prioridad Media,Organico
2045,14,Si,6,Prioridad Alta,Facebook
2046,14,Si,4,Prioridad Alta,Organico
2047,14,No,,Prioridad Alta,Instagram
2048,14,No,,Prioridad Baja,Organico
2049,14,Si,6,Prioridad Alta,Facebook
2050,14,Si,5,Prioridad Media,Instagram
2051,14,Si,4,Prioridad Baja,Instagram
2052,14,No,,Prioridad Baja,Instagram
2053,14,Si,4,Prioridad Alta,Organico
2054,14,Si,3,Prioridad Media,Facebook
2055,14,No,,Prioridad Baja,Facebook
2056,14,No,,Prioridad Media,Organico
2057,14,No,,Prioridad Baja,Organico
2058,14,No,,Prioridad Alta,AdWords
2059,14,No,,Prioridad Alta,Organico
2060,14,Si,1,Prioridad Alta,Organico
2061,14,Si,2,Prioridad Alta,AdWords
2062,14,No,,Prioridad Baja,Instagram
2063,14,No,,Prioridad Media,Organico
2064,14,No,,Prioridad Baja,Instagram
2065,14,Si,5,Prioridad Alta,Organico
2066,14,Si,5,Prioridad Alta,Instagram
2067,14,Si,4,Prioridad Alta,AdWords
2068,14,No,,Prioridad Baja,Organico
2069,14,Si,3,Prioridad Alta,Organico
2070,14,Si,16,Prioridad Alta,AdWords
2071,14,Si,4,Prioridad Alta,Organico
2072,14,Si,12,Prioridad Alta,Facebook
2073,14,No,,Prioridad Alta,AdWords
2074,14,Si,20,Prioridad Alta,Instagram
2075,14,No,,Prioridad Media,AdWords
2076,14,Si,11,Prioridad Alta,Instagram
2077,14,Si,17,Prioridad Alta,Organico
2078,14,No,,Prioridad Baja,Facebook
2079,14,Si,5,Prioridad Alta,Organico
2080,14,No,,Prioridad Baja,Instagram
2081,14,No,,Prioridad Baja,Instagram
2082,14,No,,Prioridad Media,Organico
2083,14,Si,4,Prioridad Alta,AdWords
2084,14,Si,1,Prioridad Media,Organico
2085,14,Si,4,Prioridad Baja,Organico
2086,14,No,,Prioridad Media,AdWords
2087,14,Si,2,Prioridad Alta,Organico
2088,14,No,,Prioridad Baja,Instagram
2089,14,No,,Prioridad Baja,Organico
2090,14,No,,Prioridad Baja,AdWords
2091,14,Si,1,Prioridad Alta,Organico
2092,14,No,,Prioridad Alta,AdWords
2093,14,No,,Prioridad Alta,AdWords
2094,14,Si,2,Prioridad Alta,Instagram
2095,14,Si,12,Prioridad Media,AdWords
2096,14,No,,Prioridad Baja,Instagram
2097,14,No,,Prioridad Media,Organico
2098,14,Si,7,Prioridad Alta,Facebook
2099,14,Si,7,Prioridad Alta,AdWords
2100,14,No,,Prioridad Media,AdWords
2101,14,No,,Prioridad Media,AdWords
2102,14,Si,6,Prioridad Alta,Instagram
2103,14,Si,2,Prioridad Baja,AdWords
2104,14,Si,7,Prioridad Alta,Organico
2105,14,Si,6,Prioridad Alta,Instagram
2106,14,Si,16,Prioridad Alta,Facebook
2107,14,Si,7,Prioridad Alta,Instagram
2108,14,Si,1,Prioridad Alta,Organico
2109,14,Si,4,Prioridad Alta,AdWords
2110,14,Si,21,Prioridad Alta,Organico
2111,14,Si,11,Prioridad Alta,Organico
2112,14,No,,Prioridad Media,AdWords
2113,14,No,,Prioridad Media,AdWords
2114,14,Si,16,Prioridad Alta,AdWords
2115,14,Si,5,Prioridad Alta,Instagram
2116,14,Si,7,Prioridad Alta,AdWords
2117,14,No,,Prioridad Alta,Instagram
2118,14,Si,7,Prioridad Alta,Instagram
2119,14,Si,18,Prioridad Alta,Instagram
2120,14,No,,Prioridad Baja,AdWords
2121,14,Si,4,Prioridad Baja,Organico
2122,14,No,,Prioridad Media,Organico
2123,14,No,,Prioridad Alta,Instagram
2124,14,No,,Prioridad Alta,Organico
2125,14,Si,4,Prioridad Alta,AdWords
2126,14,Si,7,Prioridad Alta,Organico
2127,14,No,,Prioridad Alta,Instagram
2128,14,No,,Prioridad Media,AdWords
